curbweight,horsepower,highwaympg,enginesize,carwidth,citympg,car_width_length,price
3515,123,25,183,70.3,22,16.161683080669537,25552.0
2050,69,36,97,63.4,31,14.842506526863986,5118.0
2954,110,25,136,71.4,19,16.2511538051918,18920.0
2921,145,24,156,66.3,19,15.47578754054216,14869.0
2324,97,34,120,65.2,27,15.446682491719704,8949.0
2128,102,30,98,63.8,24,14.869431730903505,7957.0
2455,94,31,108,65.4,25,15.45639026422405,10198.0
2403,116,30,110,65.4,23,15.42076522096099,9279.0
2926,145,24,156,66.3,19,15.47578754054216,14489.0
3380,182,22,209,67.9,16,16.17714437099453,22563.0
3045,162,22,130,67.2,17,16.0,18420.0
3139,160,25,181,67.9,19,15.697133496278868,18399.0
2264,52,46,97,65.5,37,15.401298646542765,7995.0
2370,116,30,110,65.4,23,15.440207252495027,9959.0
1985,62,39,92,63.6,35,14.909728367747013,5348.0
2120,73,31,108,63.6,26,14.882876066137216,7053.0
2240,73,31,108,63.8,26,14.869431730903505,7603.0
2191,68,38,98,63.8,31,15.201973556088038,7609.0
2975,116,30,146,65.6,24,15.54991961394013,17669.0
1819,76,38,92,63.9,31,14.439529078193651,6855.0
1944,68,38,92,64.4,31,14.88959368149447,6189.0
1940,76,34,92,64.0,30,14.628738838327793,6529.0
2010,76,34,92,64.0,30,15.079787796915447,7295.0
1909,70,43,90,63.6,38,14.815532390029054,8916.5
2679,116,30,146,65.6,24,15.54991961394013,11199.0
2190,82,33,108,65.4,28,15.407790237409127,7775.0
2385,84,32,122,66.5,26,15.630099167951558,10595.0
3296,152,22,181,66.5,17,15.846135175493108,14399.0
3034,114,28,141,67.2,23,16.0,13415.0
2385,101,23,70,65.7,17,15.319921670818033,13645.0
2290,82,32,108,65.4,28,15.45639026422405,7463.0
2700,72,39,134,66.1,31,15.527395145355193,18344.0
2758,110,28,121,66.5,21,15.90911688309568,15510.0
1909,70,43,90,63.6,38,14.913081505845799,6575.0
